FLOW_START_MILLISECONDS	FLOW_END_MILLISECONDS	IPV4_SRC_ADDR	L4_SRC_PORT	IPV4_DST_ADDR	L4_DST_PORT	PROTOCOL	L7_PROTO	IN_BYTES	IN_PKTS	OUT_BYTES	OUT_PKTS	TCP_FLAGS	CLIENT_TCP_FLAGS	SERVER_TCP_FLAGS	FLOW_DURATION_MILLISECONDS	DURATION_IN	DURATION_OUT	MIN_TTL	MAX_TTL	LONGEST_FLOW_PKT	SHORTEST_FLOW_PKT	MIN_IP_PKT_LEN	MAX_IP_PKT_LEN	SRC_TO_DST_SECOND_BYTES	DST_TO_SRC_SECOND_BYTES	RETRANSMITTED_IN_BYTES	RETRANSMITTED_IN_PKTS	RETRANSMITTED_OUT_BYTES	RETRANSMITTED_OUT_PKTS	SRC_TO_DST_AVG_THROUGHPUT	DST_TO_SRC_AVG_THROUGHPUT	NUM_PKTS_UP_TO_128_BYTES	NUM_PKTS_128_TO_256_BYTES	NUM_PKTS_256_TO_512_BYTES	NUM_PKTS_512_TO_1024_BYTES	NUM_PKTS_1024_TO_1514_BYTES	TCP_WIN_MAX_IN	TCP_WIN_MAX_OUT	ICMP_TYPE	ICMP_IPV4_TYPE	DNS_QUERY_ID	DNS_QUERY_TYPE	DNS_TTL_ANSWER	FTP_COMMAND_RET_CODE	SRC_TO_DST_IAT_MIN	SRC_TO_DST_IAT_MAX	SRC_TO_DST_IAT_AVG	SRC_TO_DST_IAT_STDDEV	DST_TO_SRC_IAT_MIN	DST_TO_SRC_IAT_MAX	DST_TO_SRC_IAT_AVG	DST_TO_SRC_IAT_STDDEV	Label	Attack
1424240010466	1424240012482	175.160.174.12	53070	149.171.126.7	8088	6	41	2588	4	7482	6	27	19	25	2016	1981	1947	62	255	844	87	67	322	1283.7301587301588	3711.309523809524	50	0	140	0	1283.7301587301588	3711.309523809524	4	0	1	0	0	14480	65160	0	0	38525	28	0	125	230	1500	218	216	41	1728	76	79	0	Benign
1424240011214	1424240016803	59.26.74.73	15436	149.171.126.15	31992	6	37	8052	6	8280	6	25	24	25	5589	5589	5534	254	255	1254	97	43	1395	1440.6870638754697	1481.4814814814813	156	0	156	0	1440.6870638754697	1481.4814814814813	4	3	2	1	2	65160	16383	0	0	13414	255	300	230	90	2156	510	183	946	2806	431	244	0	Benign
1424240012330	1424240013834	59.235.205.212	56364	149.171.126.13	53	17	11	2152	8	8130	10	0	0	0	1504	1481	1461	254	255	1139	97	79	1442	1430.8510638297873	5405.585106382979	32	1	159	0	1430.8510638297873	5405.585106382979	1	1	3	2	0	7240	14480	0	0	57385	28	0	230	389	149	88	15	638	779	228	54	1	Bot
1424240013458	1424240015108	59.134.206.199	7672	149.171.126.3	520	17	5	12825	9	2844	3	0	0	0	1650	1627	1647	31	255	1321	78	50	1398	7772.727272727273	1723.6363636363637	266	0	54	0	7772.727272727273	1723.6363636363637	0	1	1	0	1	16383	14480	0	0	27895	0	60	125	426	2635	166	189	430	1001	487	149	0	Benign
1424240014087	1424240015497	59.249.85.76	63107	149.171.126.18	6881	17	37	4310	10	15708	12	0	0	0	1410	1372	1357	62	255	838	64	91	211	3056.7375886524824	11140.425531914894	96	0	280	1	3056.7375886524824	11140.425531914894	6	0	1	1	0	16383	7240	0	0	64222	0	0	331	479	872	368	80	681	648	330	267	0	Benign
1424240015372	1424240018310	10.24.155.178	9597	149.171.126.14	520	6	36	11112	8	3704	8	16	18	16	2938	2890	2924	254	63	377	58	41	189	3782.16473791695	1260.72157930565	212	0	75	1	3782.16473791695	1260.72157930565	5	2	0	1	0	7240	65160	0	0	59224	1	60	0	749	2974	43	77	353	2945	494	19	0	Benign
1424240016099	1424240019260	10.48.184.197	40998	149.171.126.15	520	17	3	6160	8	2892	6	0	0	0	3161	3112	3125	31	255	383	75	77	357	1948.7503954444796	914.900347991142	118	0	63	0	1948.7503954444796	914.900347991142	5	1	0	1	1	14480	14480	0	0	40524	255	60	230	703	2491	23	142	980	2770	75	288	0	Benign
1424240017871	1424240018293	10.226.124.1	36974	149.171.126.16	31992	17	11	9366	7	4100	5	0	0	0	422	409	390	31	255	423	85	96	1288	22194.31279620853	9715.63981042654	174	0	74	0	22194.31279620853	9715.63981042654	1	4	3	3	2	0	7240	0	0	14097	1	0	331	77	2050	201	164	824	2926	120	96	0	Benign
1424240018663	1424240023458	175.180.114.254	9675	149.171.126.3	520	17	11	11690	10	7818	6	0	0	0	4795	4762	4766	62	255	1485	64	94	879	2437.956204379562	1630.4483837330554	233	0	162	0	2437.956204379562	1630.4483837330554	3	1	0	0	1	14480	14480	0	0	38869	28	0	125	719	980	294	13	356	2531	223	111	0	Benign
1424240019130	1424240021866	175.59.65.170	31842	149.171.126.1	445	6	5	8946	6	5424	6	27	16	19	2736	2695	2678	254	32	1254	87	48	718	3269.736842105263	1982.4561403508771	193	0	121	1	3269.736842105263	1982.4561403508771	2	1	0	0	1	14480	16383	0	0	31851	1	0	331	45	1028	333	229	48	1925	256	213	0	Benign
1424240020661	1424240023043	175.155.4.162	23961	149.171.126.12	21	17	3	4722	6	1340	5	0	0	0	2382	2346	2365	254	255	1360	72	78	670	1982.3677581863979	562.5524769101595	92	0	27	0	1982.3677581863979	562.5524769101595	4	1	1	0	3	65160	7240	0	0	12861	255	0	220	648	2242	2	149	5	1461	23	273	0	Benign
1424240021308	1424240021617	175.233.98.173	1495	149.171.126.9	21	6	3	6504	12	1002	6	19	27	19	309	299	270	254	63	1135	59	54	1448	21048.543689320388	3242.7184466019417	130	0	11	0	21048.543689320388	3242.7184466019417	7	3	0	0	0	14480	65160	0	0	3833	255	300	230	81	946	210	22	706	413	413	228	1	DoS
1424240022769	1424240026336	175.171.171.4	21320	149.171.126.7	445	6	11	25200	28	3760	20	18	16	27	3567	3565	3554	254	63	1147	52	76	328	7064.760302775441	1054.107092795066	488	1	90	0	7064.760302775441	1054.107092795066	5	2	1	5	0	7240	7240	0	0	23350	0	0	230	448	1015	523	148	843	2080	386	81	1	DoS
1424240023343	1424240028994	175.231.173.243	61760	149.171.126.4	80	6	0	2937	3	8346	6	16	19	16	5651	5625	5609	62	255	1042	67	91	549	519.7310210582198	1476.9067421695277	74	0	168	0	519.7310210582198	1476.9067421695277	4	3	2	2	2	14480	16383	0	0	57093	255	0	220	444	1169	44	153	909	1371	142	237	0	Benign
1424240024491	1424240029495	59.246.64.28	11627	149.171.126.4	80	17	36	3003	7	10976	8	0	0	0	5004	4961	4968	62	63	392	71	51	1247	600.1199040767386	2193.445243804956	42	0	207	0	600.1199040767386	2193.445243804956	3	3	1	0	3	65160	65160	0	0	28133	0	60	125	159	504	188	41	647	2549	5	148	0	Benign
1424240025413	1424240027521	175.62.80.163	5868	149.171.126.13	21	6	92	2086	7	4376	4	27	24	27	2108	2059	2081	31	255	374	84	76	1107	989.5635673624288	2075.901328273245	46	0	73	1	989.5635673624288	2075.901328273245	2	4	2	1	0	7240	7240	0	0	5526	28	60	125	203	1180	241	74	289	246	344	45	0	Benign
1424240026805	1424240027019	175.241.113.118	65435	149.171.126.3	22	6	0	10944	24	1330	5	19	19	25	214	171	198	31	32	1090	98	45	468	51140.186915887854	6214.953271028037	225	2	25	1	51140.186915887854	6214.953271028037	6	1	1	0	1	14480	16383	0	0	59248	1	300	331	480	1066	70	23	975	2231	293	228	1	DDoS
1424240027385	1424240034075	175.7.27.131	30514	149.171.126.5	25	6	5	4936	8	5370	6	24	16	24	6690	6662	6673	62	63	238	85	87	402	737.8176382660687	802.6905829596412	82	0	113	0	737.8176382660687	802.6905829596412	3	1	0	0	1	14480	14480	0	0	2537	1	60	0	890	477	454	135	326	141	232	211	0	Benign
1424240028191	1424240035016	175.81.191.238	8442	149.171.126.7	443	6	11	10115	7	2110	5	27	18	27	6825	6803	6800	31	63	140	88	96	182	1482.051282051282	309.15750915750914	206	0	42	0	1482.051282051282	309.15750915750914	6	3	0	0	1	14480	65160	0	0	8995	255	0	331	864	1758	430	264	380	1790	65	40	0	Benign
1424240029955	1424240034970	59.71.57.190	21508	149.171.126.15	53	6	5	5484	6	1480	4	25	19	24	5015	4995	4976	62	255	1430	68	80	906	1093.519441674975	295.1146560319043	108	0	30	0	1093.519441674975	295.1146560319043	1	4	0	1	0	65160	65160	0	0	27324	255	0	220	479	723	159	89	755	1071	381	102	0	Benign
1424240030276	1424240032781	59.162.208.36	30142	149.171.126.9	21	17	3	5892	4	2245	5	0	0	0	2505	2498	2439	254	255	781	49	51	71	2352.095808383234	896.2075848303393	140	0	51	0	2352.095808383234	896.2075848303393	4	2	1	1	2	7240	65160	0	0	57321	28	60	230	3	13	2	51	798	1345	66	116	0	Benign
1424240031160	1424240037064	10.190.123.239	18904	149.171.126.2	443	17	5	3900	6	3465	5	0	0	0	5904	5869	5843	254	63	1297	59	93	635	660.569105691057	586.890243902439	87	1	72	0	660.569105691057	586.890243902439	3	0	1	2	3	14480	0	0	0	37755	1	0	0	688	610	27	49	480	2606	461	47	0	Benign
1424240032459	1424240037283	10.179.145.184	62524	149.171.126.9	21	6	37	8082	6	5225	5	18	25	25	4824	4804	4780	254	32	329	71	93	392	1675.3731343283582	1083.1260364842456	186	0	102	0	1675.3731343283582	1083.1260364842456	4	3	0	3	1	7240	14480	0	0	22130	1	60	220	101	2289	193	53	608	1482	423	101	0	Benign
1424240033313	1424240038003	10.186.67.153	25919	149.171.126.13	22	6	37	38160	36	5460	20	27	19	25	4690	4667	4676	62	63	773	67	83	228	8136.460554371001	1164.1791044776119	761	0	102	0	8136.460554371001	1164.1791044776119	4	3	0	0	0	7240	0	0	0	34757	255	0	331	518	2746	156	183	383	2557	473	56	1	DDoS
1424240034021	1424240039370	59.148.103.87	30733	149.171.126.15	443	17	11	1050	5	4209	3	0	0	0	5349	5338	5281	31	255	1366	98	72	1330	196.29837352776218	786.8760515984296	27	0	71	0	196.29837352776218	786.8760515984296	3	1	1	1	0	7240	7240	0	0	62342	0	300	230	634	83	510	264	515	975	487	277	0	Benign
1424240035252	1424240035539	10.244.237.99	27645	149.171.126.11	31992	17	3	3130	5	556	4	0	0	0	287	240	239	254	255	295	51	84	1235	10905.923344947736	1937.282229965157	55	0	5	0	10905.923344947736	1937.282229965157	3	4	3	1	0	14480	0	0	0	35112	1	60	230	789	1611	577	284	493	252	191	234	0	Benign
1424240036747	1424240038722	10.41.82.224	7145	149.171.126.14	443	6	0	3305	5	7296	6	25	24	24	1975	1957	1936	62	32	196	77	69	1086	1673.4177215189873	3694.177215189873	58	0	144	0	1673.4177215189873	3694.177215189873	4	2	1	1	2	14480	0	0	0	26517	1	0	125	997	1447	460	48	27	1787	311	112	0	Benign
1424240037856	1424240041280	10.22.197.171	61343	149.171.126.13	8088	6	5	3068	4	1422	1	27	19	24	3424	3386	3367	62	255	422	93	82	432	896.0280373831775	415.303738317757	57	0	26	0	896.0280373831775	415.303738317757	1	3	1	1	0	7240	7240	0	0	64557	255	0	125	681	2864	180	41	91	1107	210	264	0	Benign
1424240038560	1424240040469	175.192.75.113	56830	149.171.126.5	21	17	37	5670	10	2214	6	0	0	0	1909	1891	1864	62	255	1445	48	59	1267	2970.1414353064433	1159.7695128339444	111	1	39	0	2970.1414353064433	1159.7695128339444	4	4	3	0	2	14480	7240	0	0	17957	255	300	331	973	1477	297	135	803	200	574	27	0	Benign
1424240039474	1424240044764	10.73.89.154	33600	149.171.126.3	22	6	0	8064	7	2088	4	18	24	18	5290	5242	5246	62	255	1371	79	49	969	1524.3856332703213	394.7069943289225	191	1	44	0	1524.3856332703213	394.7069943289225	0	5	0	2	1	0	65160	0	0	44751	28	0	331	59	1256	112	254	618	442	397	209	0	Benign
1424240040058	1424240043409	59.232.253.39	20878	149.171.126.2	443	6	37	5810	7	5020	4	25	27	16	3351	3317	3309	62	63	1291	95	51	594	1733.810802745449	1498.0602805132796	116	1	96	0	1733.810802745449	1498.0602805132796	3	3	1	3	0	7240	14480	0	0	29046	255	300	230	137	1022	411	86	258	269	67	273	0	Benign
1424240041510	1424240046509	10.64.187.55	63060	149.171.126.12	520	17	36	8136	36	31696	28	0	0	0	4999	4964	4927	254	32	906	58	47	1225	1627.5255051010204	6340.468093618724	164	3	648	1	1627.5255051010204	6340.468093618724	4	1	3	2	1	14480	7240	0	0	33247	1	60	125	176	1988	134	264	256	341	231	290	1	DoS
1424240042681	1424240045597	175.51.100.180	63862	149.171.126.16	53	6	7	796	2	5880	5	19	27	24	2916	2912	2891	62	32	152	93	62	725	272.9766803840878	2016.4609053497943	22	0	121	0	272.9766803840878	2016.4609053497943	2	3	0	0	3	65160	0	0	0	62764	255	300	331	364	2016	576	162	636	533	134	288	0	Benign
1424240043475	1424240048947	175.159.223.210	15845	149.171.126.19	8088	17	36	2640	8	4401	3	0	0	0	5472	5462	5447	254	32	351	88	43	239	482.45614035087715	804.2763157894736	52	0	79	2	482.45614035087715	804.2763157894736	4	1	1	1	2	16383	65160	0	0	33581	255	0	230	560	1803	468	55	998	1118	343	262	0	Benign
1424240044699	1424240045986	10.48.141.186	18774	149.171.126.15	445	17	7	172800	135	25260	60	0	0	0	1287	1282	1244	31	255	749	98	92	343	26853.146853146856	3925.4079254079256	681	0	110	0	26853.146853146856	3925.4079254079256	3	2	1	0	2	7240	14480	0	0	6982	255	300	331	174	2766	120	83	300	2060	44	149	1	DDoS
1424240045975	1424240050990	59.94.31.215	15820	149.171.126.2	25	6	11	2464	2	164	2	19	16	27	5015	4991	4940	62	63	314	70	68	1486	491.32602193419746	32.701894317048854	51	1	0	0	491.32602193419746	32.701894317048854	2	5	0	0	0	65160	7240	0	0	47166	1	300	230	786	1780	306	113	230	1012	481	116	0	Benign
1424240046782	1424240050100	175.60.148.32	38723	149.171.126.4	520	17	5	2884	7	1712	4	0	0	0	3318	3307	3256	62	63	136	58	85	563	869.1983122362869	515.9734779987945	43	0	41	0	869.1983122362869	515.9734779987945	6	2	0	1	2	16383	16383	0	0	2092	1	300	220	802	1971	534	278	380	1785	81	38	0	Benign
1424240047189	1424240051628	10.50.175.142	21216	149.171.126.17	443	17	92	4208	8	5648	4	0	0	0	4439	4424	4436	31	255	377	49	72	158	947.9612525343546	1272.3586393331832	80	2	122	0	947.9612525343546	1272.3586393331832	2	1	2	3	1	7240	7240	0	0	32025	28	300	125	33	1483	209	173	31	1849	94	84	0	Benign
1424240048957	1424240054327	10.221.184.55	30597	149.171.126.19	8088	17	0	4284	3	6168	6	0	0	0	5370	5356	5365	31	63	170	62	43	794	797.7653631284916	1148.6033519553073	76	0	117	1	797.7653631284916	1148.6033519553073	5	3	0	3	2	65160	14480	0	0	58672	1	0	125	122	1779	183	95	149	756	125	168	0	Benign
1424240049686	1424240053328	59.61.17.104	41312	149.171.126.11	143	17	37	8232	21	2980	20	0	0	0	3642	3601	3624	31	255	259	80	54	117	2260.2965403624385	818.2317408017573	178	2	57	0	2260.2965403624385	818.2317408017573	5	2	0	0	1	16383	0	0	0	53281	255	0	331	557	968	109	294	551	2055	331	132	1	DoS
1424240050957	1424240052364	10.183.175.90	31564	149.171.126.16	443	6	11	3115	7	1934	2	16	19	18	1407	1362	1360	62	32	710	41	94	1081	2213.9303482587065	1374.5557924662403	57	1	38	0	2213.9303482587065	1374.5557924662403	5	3	0	5	2	65160	16383	0	0	31387	1	0	125	687	156	299	204	196	565	351	114	0	Benign
1424240051562	1424240054714	59.236.217.141	65244	149.171.126.1	445	6	92	69504	48	1786	2	24	27	19	3152	3110	3148	254	255	1496	80	51	580	22050.761421319796	566.6243654822334	1451	1	30	0	22050.761421319796	566.6243654822334	1	3	2	0	1	14480	65160	0	0	7039	28	300	230	121	286	3	109	531	1067	235	167	1	DDoS
1424240052875	1424240056877	59.187.49.62	58843	149.171.126.7	53	6	3	46578	42	5592	12	27	16	25	4002	4002	3948	31	32	1219	96	59	1347	11638.680659670166	1397.3013493253375	887	0	126	1	11638.680659670166	1397.3013493253375	2	5	3	0	1	65160	65160	0	0	6306	1	300	125	893	225	390	0	997	2669	301	266	1	Bot
1424240053566	1424240054488	59.159.218.17	37463	149.171.126.11	8088	6	36	1902	6	1612	4	24	24	16	922	889	894	31	32	127	97	89	284	2062.9067245119304	1748.3731019522775	40	1	27	0	2062.9067245119304	1748.3731019522775	1	3	2	0	2	65160	14480	0	0	16540	28	300	331	729	2793	378	181	977	755	244	93	0	Benign
1424240054243	1424240059203	175.245.168.106	49092	149.171.126.2	80	6	5	37828	28	220	2	19	25	16	4960	4927	4942	62	255	783	95	87	220	7626.612903225807	44.354838709677416	721	1	7	1	7626.612903225807	44.354838709677416	1	0	0	1	2	7240	65160	0	0	10537	28	300	220	840	2532	370	200	929	1647	131	293	1	PortScan
1424240055831	1424240061210	59.74.69.178	20549	149.171.126.2	143	6	7	5362	7	4128	4	27	16	19	5379	5335	5308	31	63	1211	69	73	1479	996.8395612567392	767.4288901282767	114	0	97	0	996.8395612567392	767.4288901282767	2	1	1	2	2	16383	7240	0	0	28748	1	0	220	534	2442	232	61	577	687	78	208	0	Benign
1424240056504	1424240056928	59.35.132.110	32102	149.171.126.14	111	6	7	49630	70	16576	28	16	24	18	424	385	418	254	255	160	71	63	112	117051.88679245283	39094.33962264151	979	0	363	0	117051.88679245283	39094.33962264151	5	5	0	0	2	16383	65160	0	0	40465	1	300	230	246	422	237	136	971	1028	591	47	1	BruteForce
1424240057130	1424240059127	175.14.121.136	9005	149.171.126.13	25	6	3	1008	8	10000	8	24	25	18	1997	1967	1985	31	63	1412	88	55	874	504.7571357035553	5007.51126690035	18	2	216	0	504.7571357035553	5007.51126690035	4	5	0	2	0	14480	65160	0	0	43890	1	60	220	738	404	341	37	204	2905	307	49	0	Benign
1424240058484	1424240064847	59.208.100.138	28681	149.171.126.12	31992	6	0	5296	8	2895	5	16	16	27	6363	6354	6306	254	255	643	73	74	929	832.3118026088323	454.97406883545494	100	0	42	0	832.3118026088323	454.97406883545494	3	2	2	1	0	65160	65160	0	0	52589	0	60	230	803	1742	16	294	103	2688	151	103	0	Benign
1424240059818	1424240061276	175.229.249.190	19209	149.171.126.14	443	6	5	357	7	12760	10	24	18	25	1458	1450	1417	31	255	1180	60	70	721	244.8559670781893	8751.714677640604	5	0	248	0	244.8559670781893	8751.714677640604	0	3	2	1	2	0	65160	0	0	54181	255	60	230	768	2326	370	64	394	875	368	205	0	Benign
1424240060646	1424240063233	59.188.157.240	32605	149.171.126.6	520	6	41	1512	4	6864	8	19	18	16	2587	2544	2569	31	255	1362	54	82	376	584.4607653652879	2653.266331658291	39	1	144	2	584.4607653652879	2653.266331658291	4	4	2	4	1	65160	65160	0	0	59993	255	300	230	439	2697	163	145	494	836	402	52	0	Benign
1424240061020	1424240065416	59.202.240.134	34361	149.171.126.2	22	17	5	1976	4	8940	6	0	0	0	4396	4391	4318	31	255	673	69	95	153	449.4995450409463	2033.6669699727024	44	0	180	0	449.4995450409463	2033.6669699727024	5	2	0	1	0	16383	14480	0	0	29366	255	0	331	888	655	168	204	790	1433	225	179	0	Benign
1424240062840	1424240069326	10.249.57.169	593	149.171.126.1	520	17	0	2700	6	8220	6	0	0	0	6486	6457	6482	62	255	1464	93	46	1264	416.28122109158187	1267.345050878816	55	0	177	0	416.28122109158187	1267.345050878816	2	4	0	0	2	65160	16383	0	0	51903	28	0	125	608	2631	557	289	259	1918	484	171	0	Benign
1424240063166	1424240070901	10.120.44.84	23123	149.171.126.4	21	6	7	8649	9	92	1	19	18	19	7735	7715	7731	254	63	1383	79	82	337	1118.164188752424	11.8939883645766	157	1	2	1	1118.164188752424	11.8939883645766	1	3	0	1	1	0	16383	0	0	63596	0	60	220	9	1230	340	60	618	1810	580	296	0	Benign
1424240064273	1424240064988	10.149.112.223	28482	149.171.126.3	111	6	92	1850	10	2916	4	24	19	25	715	687	703	31	255	641	89	53	428	2587.4125874125875	4078.3216783216785	33	0	75	0	2587.4125874125875	4078.3216783216785	4	4	1	2	1	16383	0	0	0	54068	0	60	125	305	422	269	54	724	1603	143	223	0	Benign
1424240065387	1424240069114	10.119.166.109	49120	149.171.126.3	31992	17	36	655	5	1791	3	0	0	0	3727	3702	3688	254	63	840	47	84	983	175.74456667561043	480.547357123692	10	0	35	0	175.74456667561043	480.547357123692	0	0	2	0	0	7240	0	0	0	58997	1	0	125	782	234	539	104	408	1823	74	254	0	Benign
1424240066600	1424240067718	59.228.168.40	22582	149.171.126.1	8088	6	92	6006	6	121	1	16	25	16	1118	1084	1061	254	255	1087	58	99	1250	5372.093023255813	108.22898032200357	105	0	4	0	5372.093023255813	108.22898032200357	2	1	1	1	2	16383	7240	0	0	39510	28	300	230	873	1329	30	75	732	495	212	178	0	Benign
1424240067315	1424240072010	175.168.155.246	18319	149.171.126.10	21	17	0	36260	49	3711	3	0	0	0	4695	4673	4644	62	255	480	69	71	1440	7723.109691160809	790.4153354632588	710	2	71	0	7723.109691160809	790.4153354632588	2	2	1	1	1	65160	0	0	0	24875	1	0	220	713	2533	217	274	806	7	57	157	1	BruteForce
1424240068013	1424240071525	10.127.191.133	42217	149.171.126.16	21	17	0	47850	66	240	3	0	0	0	3512	3465	3475	31	255	1170	64	66	1169	13624.715261958998	68.3371298405467	907	1	4	0	13624.715261958998	68.3371298405467	4	3	2	0	1	14480	16383	0	0	6563	1	300	125	475	1448	231	126	83	1311	90	269	1	DDoS
1424240069241	1424240071517	175.126.114.158	22914	149.171.126.11	445	6	36	12798	18	5536	16	25	18	27	2276	2252	2214	62	32	1321	53	62	1054	5623.0228471001765	2432.3374340949035	221	2	113	0	5623.0228471001765	2432.3374340949035	4	2	4	0	0	65160	0	0	0	16307	255	300	220	287	851	291	244	731	2548	568	278	1	BruteForce
1424240070776	1424240072152	10.8.0.14	46926	149.171.126.18	520	6	5	4164	6	4090	5	25	16	16	1376	1343	1339	31	255	593	93	64	620	3026.1627906976746	2972.383720930233	86	0	72	0	3026.1627906976746	2972.383720930233	4	1	1	1	2	65160	14480	0	0	48142	1	0	230	699	1753	259	211	831	457	392	11	0	Benign
1424240071345	1424240073607	10.144.57.70	22768	149.171.126.12	21	6	41	1743	7	4248	4	25	24	18	2262	2254	2202	62	63	1037	42	96	1116	770.5570291777188	1877.9840848806366	38	0	95	0	770.5570291777188	1877.9840848806366	1	3	1	0	0	0	14480	0	0	2779	28	60	125	93	369	107	273	196	1743	381	130	0	Benign
1424240072564	1424240075833	10.97.180.82	38752	149.171.126.18	445	6	7	6095	5	5450	5	16	24	27	3269	3225	3258	31	32	779	87	84	640	1864.4845518507188	1667.1765065769348	109	0	114	1	1864.4845518507188	1667.1765065769348	4	4	0	2	2	65160	0	0	0	13469	28	60	331	612	2600	28	202	83	2727	571	279	0	Benign
